case_id,symptom,topology_note,show_output,expected_fault,osi_layer,concept_tag,severity
CASE-014,"PC1 and Server0 communicate locally in VLAN 20 but cannot reach 192.168.20.1 or VLAN 10.","PC1 and Server0 are VLAN 20 access ports; R1 G0/0/0.20 is the VLAN 20 gateway; Switch0 G0/1 is the only trunk.","Switch0# show interfaces trunk | Gi0/1 allowed VLANs 10,99; VLAN 20 absent from the allowed VLAN list","VLAN 20 is excluded from the switch trunk allowed-VLAN list.","Layer 2","trunk-allowed-vlan","High"
CASE-015,"All inter-VLAN traffic fails although switch access ports show the correct VLAN assignments.","R1 G0/0/0 should connect to Switch0 G0/1 as an 802.1Q trunk carrying VLAN 10, VLAN 20, and VLAN 99.","Switch0# show interfaces trunk | no interfaces trunking; Switch0# show running-config interface g0/1 | switchport mode access","The router-to-switch uplink is configured as an access port instead of a trunk.","Layer 2","trunk-mode","High"
CASE-016,"PC1 cannot reach its VLAN 20 gateway even though the router interface and switch port are correct.","PC1 is connected to a VLAN 20 access port; R1 G0/0/0.20 is configured as 192.168.20.1/24.","PC1> ipconfig | IP Address 192.168.10.25; Default Gateway 192.168.20.1; Switch0# show vlan brief | PC1 port is in VLAN 20","PC1 has a static IP address from VLAN 10 while connected to VLAN 20.","Layer 3","host-ip-addressing","High"
CASE-017,"Server0 cannot reply to requests from VLAN 10 clients, but PC1 on the same VLAN can reach it.","Server0 and PC1 are VLAN 20 hosts; R1 G0/0/0.20 is the gateway at 192.168.20.1.","Server0> ipconfig | IP Address 192.168.20.10; Default Gateway 192.168.20.254; R1# show ip interface brief | G0/0/0.20 192.168.20.1 up up","Server0 has an incorrect default gateway.","Layer 3","gateway-mismatch","High"
CASE-018,"PC0 has no network connectivity while the router trunk and other VLAN 10 host PC2 work normally.","PC0 connects to Switch0 Fa0/1 as a VLAN 10 access port; PC2 is another working VLAN 10 host.","Switch0# show interfaces fa0/1 status | Fa0/1 disabled 10; Switch0# show running-config interface fa0/1 | shutdown","PC0 switch access port is administratively shut down.","Layer 1","access-port-shutdown","High"
CASE-019,"VLAN 10 clients cannot reach their gateway although their IP settings and access ports are correct.","PC0 and PC2 are VLAN 10 endpoints; router-on-a-stick uses R1 G0/0/0.10 as the VLAN 10 gateway.","R1# show running-config interface g0/0/0.10 | encapsulation dot1Q 1; ip address 192.168.10.1 255.255.255.0","R1 VLAN 10 gateway subinterface has the wrong 802.1Q VLAN tag.","Layer 2","subinterface-vlan-tag","High"
CASE-020,"PC0 can reach its gateway but cannot reach Server0, while other expected traffic is allowed.","PC0 is in VLAN 10; Server0 is in VLAN 20; ACL is applied inbound on R1 G0/0/0.10.","R1# show access-lists 111 | deny icmp host 192.168.10.15 host 192.168.20.10; permit ip any any; R1# show run interface g0/0/0.10 | ip access-group 111 in","ACL 111 specifically blocks ICMP from PC0 to Server0.","Layer 3-4","acl-icmp-block","Medium"
CASE-021,"PC0 can ping Server0 by IP address but cannot resolve its hostname.","Server0 provides DNS service at 192.168.20.10 and PC0 has verified inter-VLAN IP connectivity.","PC0> ipconfig /all | DNS Server 192.168.20.254; PC0> ping 192.168.20.10 succeeds; PC0> ping server0.lab fails","PC0 is configured with the wrong DNS server address.","Layer 7","dns-client","Low"
CASE-022,"Clients can reach Server0 by IP address but all hostname lookups fail.","Server0 is intended to provide DNS service on 192.168.20.10; Layer 3 connectivity to it is working.","Server0 DNS service | Service status Off; PC0> ping 192.168.20.10 succeeds; PC0> ping server0.lab fails","DNS service is disabled on Server0.","Layer 7","dns-service","Medium"
CASE-023,"PC0 can ping Server0 but cannot open its web page.","Server0 provides an HTTP test service at 192.168.20.10; PC0 has a valid VLAN 10 route to the server.","Server0 HTTP service | Service status Off; PC0> ping 192.168.20.10 succeeds; browser request to http://192.168.20.10 fails","HTTP service is disabled on Server0.","Layer 7","http-service","Medium"
CASE-024,"PC1 remains without an IP address after requesting DHCP.","Server0 is used as the VLAN 20 DHCP server; PC1 is connected to a VLAN 20 access port.","Server0 DHCP service | Service status Off; PC1> ipconfig | IP Address 0.0.0.0 or 169.254.x.x","DHCP service is disabled on Server0.","Layer 7","dhcp-service","High"
CASE-025,"PC1 receives a VLAN 20 address through DHCP but cannot reach its correct gateway.","Server0 provides the DHCP pool for VLAN 20; R1 G0/0/0.20 gateway is 192.168.20.1/24.","Server0 DHCP pool VLAN20 | Default Gateway 192.168.20.254; PC1> ipconfig | Default Gateway 192.168.20.254","The VLAN 20 DHCP pool supplies an incorrect default gateway.","Layer 3","dhcp-gateway","High"
CASE-026,"PC1 receives a DHCP address but cannot communicate on VLAN 20.","PC1 is connected to a VLAN 20 access port; Server0 hosts DHCP scopes for VLAN 10 and VLAN 20.","PC1> ipconfig | IP Address 192.168.10.50; Switch0# show vlan brief | PC1 port is in VLAN 20; R1# show ip interface brief | G0/0/0.20 192.168.20.1 up up","A DHCP pool for the wrong subnet is assigned to a VLAN 20 client.","Layer 3","dhcp-wrong-pool","High"
CASE-027,"Server0 cannot communicate with either PC1 in its VLAN or PC0 across the router.","Server0 is connected to a VLAN 20 access port with intended address 192.168.20.10/24.","Server0> ipconfig | IP Address 192.168.30.10; Subnet Mask 255.255.255.0; Default Gateway 192.168.20.1","Server0 has a static IP address from the wrong subnet.","Layer 3","host-ip-addressing","High"
CASE-028,"Server0 can communicate with some VLAN 20 devices but not all expected VLAN 20 addresses.","PC1 and Server0 are in the same VLAN 20 subnet, which should use mask 255.255.255.0.","Server0> ipconfig | IP Address 192.168.20.10; Subnet Mask 255.255.255.128; expected mask 255.255.255.0","Server0 has a /25 subnet mask instead of the required /24 mask.","Layer 3","subnet-mask","Medium"
CASE-029,"VLAN 10 and VLAN 20 users work, but Switch0 cannot be managed reliably from the router management address.","Switch0 management SVI is VLAN 99 at 192.168.99.2; R1 G0/0/0.99 is 192.168.99.1.","Switch0# show ip interface brief | Vlan99 192.168.99.20 up up; R1# show running-config interface g0/0/0.99 | ip address 192.168.99.1 255.255.255.0","Switch0 management SVI has the wrong IPv4 address.","Layer 3","switch-management-ip","Medium"
CASE-030,"A VLAN 10 PC cannot remotely manage Switch0 at 192.168.99.2, although Switch0 can be reached from VLAN 99.","Switch0 management SVI is VLAN 99; PC0 is VLAN 10 and reaches other networks through R1 router-on-a-stick.","Switch0# show running-config | no ip default-gateway command; Switch0# show ip interface brief | Vlan99 192.168.99.2 up up","Switch0 has no default gateway for replies to management traffic from other VLANs.","Layer 3","switch-default-gateway","Medium"
